BitSize,Trial,Sample,NumberOfAttempts
8,2,1,211
8,2,2,242
8,2,3,64
8,2,4,123
8,2,5,127
8,2,6,252
8,2,7,28
8,2,8,236
8,2,9,214
8,2,10,576
8,2,11,407
8,2,12,129
8,2,13,79
8,2,14,101
8,2,15,19
8,2,16,146
8,2,17,65
8,2,18,621
8,2,19,445
8,2,20,118
8,2,21,529
8,2,22,160
8,2,23,378
8,2,24,70
8,2,25,212
8,2,26,49
8,2,27,278
8,2,28,103
8,2,29,90
8,2,30,98
8,2,31,395
8,2,32,509
8,2,33,16
8,2,34,238
8,2,35,117
8,2,36,215
8,2,37,517
8,2,38,95
8,2,39,48
8,2,40,74
8,2,41,854
8,2,42,529
8,2,43,69
8,2,44,149
8,2,45,282
8,2,46,33
8,2,47,79
8,2,48,36
8,2,49,117
8,2,50,40
10,2,1,195
10,2,2,1529
10,2,3,2991
10,2,4,2803
10,2,5,1043
10,2,6,355
10,2,7,3346
10,2,8,222
10,2,9,802
10,2,10,171
10,2,11,989
10,2,12,124
10,2,13,779
10,2,14,692
10,2,15,54
10,2,16,1760
10,2,17,2068
10,2,18,1193
10,2,19,715
10,2,20,846
10,2,21,2017
10,2,22,1277
10,2,23,1290
10,2,24,258
10,2,25,2605
10,2,26,2471
10,2,27,415
10,2,28,3037
10,2,29,43
10,2,30,1590
10,2,31,699
10,2,32,497
10,2,33,273
10,2,34,291
10,2,35,1271
10,2,36,1498
10,2,37,57
10,2,38,980
10,2,39,2895
10,2,40,673
10,2,41,33
10,2,42,171
10,2,43,604
10,2,44,1729
10,2,45,730
10,2,46,4802
10,2,47,2174
10,2,48,276
10,2,49,612
10,2,50,347
12,2,1,100
12,2,2,40
12,2,3,1683
12,2,4,1179
12,2,5,3285
12,2,6,1995
12,2,7,19614
12,2,8,612
12,2,9,10134
12,2,10,3609
12,2,11,5149
12,2,12,398
12,2,13,3730
12,2,14,1350
12,2,15,1217
12,2,16,385
12,2,17,9897
12,2,18,74
12,2,19,1672
12,2,20,6729
12,2,21,3831
12,2,22,889
12,2,23,1601
12,2,24,2717
12,2,25,6524
12,2,26,4040
12,2,27,845
12,2,28,1547
12,2,29,5429
12,2,30,2568
12,2,31,5694
12,2,32,1345
12,2,33,8444
12,2,34,291
12,2,35,3248
12,2,36,3182
12,2,37,5192
12,2,38,4641
12,2,39,878
12,2,40,4000
12,2,41,10560
12,2,42,11824
12,2,43,1273
12,2,44,17133
12,2,45,15358
12,2,46,576
12,2,47,5691
12,2,48,16433
12,2,49,353
12,2,50,6600
14,2,1,9788
14,2,2,685
14,2,3,7371
14,2,4,11830
14,2,5,4540
14,2,6,5609
14,2,7,4779
14,2,8,41898
14,2,9,2243
14,2,10,61134
14,2,11,54249
14,2,12,36441
14,2,13,8218
14,2,14,12813
14,2,15,3308
14,2,16,5270
14,2,17,19145
14,2,18,11069
14,2,19,66899
14,2,20,40411
14,2,21,5188
14,2,22,4153
14,2,23,15563
14,2,24,5785
14,2,25,2888
14,2,26,13533
14,2,27,17835
14,2,28,55043
14,2,29,19678
14,2,30,20511
14,2,31,9041
14,2,32,11326
14,2,33,21030
14,2,34,32569
14,2,35,5891
14,2,36,11184
14,2,37,5063
14,2,38,4355
14,2,39,11823
14,2,40,10516
14,2,41,7110
14,2,42,48741
14,2,43,12860
14,2,44,50349
14,2,45,2351
14,2,46,22441
14,2,47,37089
14,2,48,37882
14,2,49,23770
14,2,50,6737
16,2,1,64527
16,2,2,114038
16,2,3,38065
16,2,4,11903
16,2,5,23629
16,2,6,94730
16,2,7,53248
16,2,8,94919
16,2,9,100632
16,2,10,45862
16,2,11,72118
16,2,12,54084
16,2,13,70582
16,2,14,47324
16,2,15,7838
16,2,16,72519
16,2,17,81845
16,2,18,38131
16,2,19,26418
16,2,20,3398
16,2,21,85627
16,2,22,77237
16,2,23,83506
16,2,24,100438
16,2,25,101339
16,2,26,14469
16,2,27,34517
16,2,28,40105
16,2,29,37917
16,2,30,4339
16,2,31,45956
16,2,32,24834
16,2,33,164745
16,2,34,5093
16,2,35,82312
16,2,36,68806
16,2,37,37327
16,2,38,61553
16,2,39,1601
16,2,40,251698
16,2,41,116780
16,2,42,1331
16,2,43,5727
16,2,44,88790
16,2,45,53363
16,2,46,107333
16,2,47,65643
16,2,48,16257
16,2,49,112873
16,2,50,9770
18,2,1,71656
18,2,2,196028
18,2,3,30238
18,2,4,227553
18,2,5,516253
18,2,6,12616
18,2,7,137687
18,2,8,349820
18,2,9,246233
18,2,10,1378623
18,2,11,79486
18,2,12,488947
18,2,13,337833
18,2,14,362569
18,2,15,362945
18,2,16,209849
18,2,17,114817
18,2,18,94776
18,2,19,262827
18,2,20,414199
18,2,21,106709
18,2,22,153488
18,2,23,36541
18,2,24,129131
18,2,25,77203
18,2,26,89944
18,2,27,159867
18,2,28,376549
18,2,29,683353
18,2,30,10015
18,2,31,286832
18,2,32,422662
18,2,33,842303
18,2,34,50677
18,2,35,6914
18,2,36,7728
18,2,37,217320
18,2,38,140754
18,2,39,474719
18,2,40,516345
18,2,41,395414
18,2,42,609007
18,2,43,29656
18,2,44,22451
18,2,45,389874
18,2,46,9485
18,2,47,567946
18,2,48,623240
18,2,49,26644
18,2,50,94725
20,2,1,362366
20,2,2,707193
20,2,3,187857
20,2,4,1706056
20,2,5,711790
20,2,6,1424611
20,2,7,2538390
20,2,8,1217401
20,2,9,1535173
20,2,10,1358396
20,2,11,79113
20,2,12,205857
20,2,13,1344347
20,2,14,117724
20,2,15,171286
20,2,16,1007828
20,2,17,1098012
20,2,18,3186077
20,2,19,890927
20,2,20,712283
20,2,21,514766
20,2,22,385687
20,2,23,18130
20,2,24,1789158
20,2,25,4385448
20,2,26,889939
20,2,27,1151425
20,2,28,258036
20,2,29,1351870
20,2,30,2446031
20,2,31,216480
20,2,32,78647
20,2,33,370367
20,2,34,256580
20,2,35,1779590
20,2,36,740349
20,2,37,225445
20,2,38,697629
20,2,39,989892
20,2,40,4775527
20,2,41,176101
20,2,42,4252331
20,2,43,1935266
20,2,44,834152
20,2,45,1439010
20,2,46,1301345
20,2,47,178748
20,2,48,732646
20,2,49,680460
20,2,50,14308
22,2,1,859392
22,2,2,19058455
22,2,3,7622352
22,2,4,6055588
22,2,5,9680615
22,2,6,2472902
22,2,7,6358255
22,2,8,261959
22,2,9,8230986
22,2,10,2340995
22,2,11,1910080
22,2,12,1144214
22,2,13,7218920
22,2,14,11684868
22,2,15,3371880
22,2,16,1093372
22,2,17,2213162
22,2,18,36651774
22,2,19,1473107
22,2,20,3913668
22,2,21,2738920
22,2,22,1463544
22,2,23,7241117
22,2,24,10404584
22,2,25,1053538
22,2,26,2487976
22,2,27,1210348
22,2,28,1131103
22,2,29,30800
22,2,30,10333954
22,2,31,1597762
22,2,32,8310577
22,2,33,1756171
22,2,34,5665498
22,2,35,4514782
22,2,36,397102
22,2,37,4536768
22,2,38,3120080
22,2,39,9526653
22,2,40,528951
22,2,41,3708622
22,2,42,2085629
22,2,43,1620093
22,2,44,9131466
22,2,45,15427935
22,2,46,16579702
22,2,47,6790494
22,2,48,312306
22,2,49,6403619
22,2,50,9201506
